Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats.1,Margin,State
Mumbai South Central,30,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),9,RAHUL RAMESH SHEWALE,Shiv Sena,7,53384,Maharashtra
Nagpur,10,NITIN JAIRAM GADKARI,Bharatiya Janata Party,9,VIKAS THAKRE,Indian National Congress,13,137603,Maharashtra
Nanded,16,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,13,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,9,59442,Maharashtra
Nandurbar,1,ADV GOWAAL KAGADA PADAVI,Indian National Congress,13,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,9,159120,Maharashtra
Nashik,21,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),9,GODSE HEMANT TUKARAM,Shiv Sena,7,162001,Maharashtra
Osmanabad,40,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),9,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,1,329846,Maharashtra
Palghar,22,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,9,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),9,183306,Maharashtra
Parbhani,17,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),9,JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,0,134061,Maharashtra
Pune,34,MURLIDHAR MOHOL,Bharatiya Janata Party,9,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,13,123038,Maharashtra
Raigad,32,TATKARE SUNIL DATTATREY,Nationalist Congress Party,1,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),9,82784,Maharashtra
Ramtek,9,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,13,RAJU DEONATH PARVE,Shiv Sena,7,76768,Maharashtra
Ratnagiri- Sindhudurg,46,NARAYAN TATU RANE,Bharatiya Janata Party,9,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),9,47858,Maharashtra
Raver,4,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,9,SHRIRAM DAYARAM PATIL,Nationalist Congress Party â Sharadchandra Pawar,8,272183,Maharashtra
Sangli,44,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,1,SANJAY (KAKA) PATIL,Bharatiya Janata Party,9,100053,Maharashtra
Satara,45,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,9,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party â Sharadchandra Pawar,8,32771,Maharashtra
Shirdi,38,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),9,LOKHANDE SADASHIV KISAN,Shiv Sena,7,50529,Maharashtra
Shirur,36,DR. AMOL RAMSING KOLHE,Nationalist Congress Party â Sharadchandra Pawar,8,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,1,140951,Maharashtra
Solapur,42,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,13,RAM VITTHAL SATPUTE,Bharatiya Janata Party,9,74197,Maharashtra
Thane,25,NARESH GANPAT MHASKE,Shiv Sena,7,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),9,217011,Maharashtra
Wardha,8,AMAR SHARADRAO KALE,Nationalist Congress Party â Sharadchandra Pawar,8,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,9,81648,Maharashtra
Yavatmal- Washim,14,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),9,RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,7,94473,Maharashtra
