Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats.1,Margin,State
Koppal,8,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,9,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,17,46357,Karnataka
Mandya,20,H.D. KUMARASWAMY,Janata Dal  (Secular),2,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,9,284620,Karnataka
Mysore,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,17,M. LAKSHMANA,Indian National Congress,9,139262,Karnataka
Raichur,6,G. KUMAR NAIK.,Indian National Congress,9,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,17,79781,Karnataka
Shimoga,14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,17,GEETHA SHIVARAJKUMAR,Indian National Congress,9,243715,Karnataka
Tumkur,19,V. SOMANNA,Bharatiya Janata Party,17,S.P. MUDDAHANUMEGOWDA,Indian National Congress,9,175594,Karnataka
Udupi Chikmagalur,15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,17,K. JAYAPRAKASH HEGDE,Indian National Congress,9,259175,Karnataka
Uttara Kannada,12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,17,DR. ANJALI NIMBALKAR,Indian National Congress,9,337428,Karnataka
Alappuzha,15,K. C VENUGOPAL,Indian National Congress,14,A. M ARIFF,Communist Party of India  (Marxist),1,63513,Kerela
Alathur,9,K.RADHAKRISHNAN,Communist Party of India  (Marxist),1,RAMYA HARIDAS,Indian National Congress,14,20111,Kerela
Attingal,19,ADV ADOOR PRAKASH,Indian National Congress,14,V JOY,Communist Party of India  (Marxist),1,684,Kerela
Chalakudy,11,BENNY BEHANAN,Indian National Congress,14,PROF C RAVEENDRANATH,Communist Party of India  (Marxist),1,63754,Kerela
Ernakulam,12,HIBI EDEN,Indian National Congress,14,K. J. SHINE TEACHER,Communist Party of India  (Marxist),1,250385,Kerela
Idukki,13,ADV. DEAN KURIAKOSE,Indian National Congress,14,ADV. JOICE GEORGE,Communist Party of India  (Marxist),1,133727,Kerela
Kannur,2,K. SUDHAKARAN,Indian National Congress,14,M.V. JAYARAJAN,Communist Party of India  (Marxist),1,108982,Kerela
Kasaragod,1,RAJMOHAN UNNITHAN,Indian National Congress,14,M.V BALAKRISHNAN MASTER,Communist Party of India  (Marxist),1,100649,Kerela
Kollam,18,N K PREMACHANDRAN,Revolutionary Socialist Party,1,M MUKESH,Communist Party of India  (Marxist),1,150302,Kerela
Kottayam,14,ADV K FRANCIS GEORGE,Kerala Congress,1,THOMAS CHAZHIKADAN,Kerala Congress  (M),0,87266,Kerela
Kozhikode,5,M. K. RAGHAVAN,Indian National Congress,14,ELAMARAM KAREEM,Communist Party of India  (Marxist),1,146176,Kerela
Malappuram,6,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,2,V. VASEEF,Communist Party of India  (Marxist),1,300118,Kerela
Mavelikkara,16,KODIKUNNIL SURESH,Indian National Congress,14,ADV ARUN KUMAR C A,Communist Party of India,0,10868,Kerela
Palakkad,8,V K SREEKANDAN,Indian National Congress,14,A VIJAYARAGHAVAN,Communist Party of India  (Marxist),1,75283,Kerela
Pathanamthitta,17,ANTO ANTONY,Indian National Congress,14,DR.T.M.THOMAS ISSAC,Communist Party of India  (Marxist),1,66119,Kerela
Ponnani,7,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,2,K.S HAMZA,Communist Party of India  (Marxist),1,235760,Kerela
Thiruvananthapuram,20,SHASHI THAROOR,Indian National Congress,14,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,1,16077,Kerela
Thrissur,10,SURESH GOPI,Bharatiya Janata Party,1,ADV V S SUNILKUMAR,Communist Party of India,0,74686,Kerela
Vadakara,3,SHAFI PARAMBIL,Indian National Congress,14,K K SHAILAJA TEACHER,Communist Party of India  (Marxist),1,114506,Kerela
Wayanad,4,RAHUL GANDHI,Indian National Congress,14,ANNIE RAJA,Communist Party of India,0,364422,Kerela
Ladakh,1,MOHMAD HANEEFA,Independent,1,TSERING NAMGYAL,Indian National Congress,0,27862,Ladakh
Lakshadweep,1,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,1,MOHAMMED FAIZAL PP,Nationalist Congress Party - Sharadchandra Pawar,0,2647,Lakshadweep
BALAGHAT,15,BHARTI PARDHI,Bharatiya Janata Party,29,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,0,174512,Madhya Pradesh
BETUL,29,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,29,RAMU TEKAM,Indian National Congress,0,379761,Madhya Pradesh
BHIND,2,SANDHYA RAY,Bharatiya Janata Party,29,PHOOL SINGH BARAIYA,Indian National Congress,0,64840,Madhya Pradesh
BHOPAL,19,ALOK SHARMA,Bharatiya Janata Party,29,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,0,501499,Madhya Pradesh
CHHINDWARA,16,BUNTY VIVEK SAHU,Bharatiya Janata Party,29,NAKUL KAMALNATH,Indian National Congress,0,113618,Madhya Pradesh
DAMOH,7,RAHUL SINGH LODHI,Bharatiya Janata Party,29,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,0,406426,Madhya Pradesh
DEWAS,21,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,29,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,0,425225,Madhya Pradesh
DHAR,25,SAVITRI THAKUR,Bharatiya Janata Party,29,RADHESHYAM MUVEL,Indian National Congress,0,218665,Madhya Pradesh
GUNA,4,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,29,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,0,540929,Madhya Pradesh
GWALIOR,3,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,29,PRAVEEN PATHAK,Indian National Congress,0,70210,Madhya Pradesh
HOSHANGABAD,17,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,29,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,0,431696,Madhya Pradesh
INDORE,26,SHANKAR LALWANI,Bharatiya Janata Party,29,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,0,1175092,Madhya Pradesh
JABALPUR,13,ASHISH DUBEY,Bharatiya Janata Party,29,DINESH YADAV,Indian National Congress,0,486674,Madhya Pradesh
KHAJURAHO,8,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,29,KAMLESH KUMAR,Bahujan Samaj Party,0,541229,Madhya Pradesh
KHANDWA,28,GYANESHWAR PATIL,Bharatiya Janata Party,29,NARENDRA PATEL,Indian National Congress,0,269971,Madhya Pradesh
KHARGONE,27,GAJENDRA SINGH PATEL,Bharatiya Janata Party,29,PORLAL BATHA KHARTE,Indian National Congress,0,135018,Madhya Pradesh
MANDLA,14,FAGGAN SINGH KULASTE,Bharatiya Janata Party,29,OMKAR SINGH MARKAM,Indian National Congress,0,103846,Madhya Pradesh
MANDSOUR,23,SUDHEER GUPTA,Bharatiya Janata Party,29,DILIP SINGH GURJAR,Indian National Congress,0,500655,Madhya Pradesh
MORENA,1,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,29,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,0,52530,Madhya Pradesh
RAJGARH,20,RODMAL NAGAR,Bharatiya Janata Party,29,DIGVIJAYA SINGH,Indian National Congress,0,146089,Madhya Pradesh
RATLAM,24,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,29,KANTILAL BHURIA,Indian National Congress,0,207232,Madhya Pradesh
REWA,10,JANARDAN MISHRA,Bharatiya Janata Party,29,NEELAM ABHAY MISHRA,Indian National Congress,0,193374,Madhya Pradesh
SAGAR,5,DR. LATA WANKHEDE,Bharatiya Janata Party,29,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,0,471222,Madhya Pradesh
SATNA,9,GANESH SINGH,Bharatiya Janata Party,29,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,0,84949,Madhya Pradesh
SHAHDOL,12,SMT. HIMADRI SINGH,Bharatiya Janata Party,29,PHUNDE LAL SINGH MARKO,Indian National Congress,0,397340,Madhya Pradesh
SIDHI,11,DR. RAJESH MISHRA,Bharatiya Janata Party,29,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,0,206416,Madhya Pradesh
TIKAMGARH,6,DR. VIRENDRA KUMAR,Bharatiya Janata Party,29,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,0,403312,Madhya Pradesh
UJJAIN,22,ANIL FIROJIYA,Bharatiya Janata Party,29,MAHESH PARMAR,Indian National Congress,0,375860,Madhya Pradesh
VIDISHA,18,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,29,PRATAPBHANU SHARMA,Indian National Congress,0,821408,Madhya Pradesh
Ahmednagar,37,NILESH DNYANDEV LANKE,Nationalist Congress Party â Sharadchandra Pawar,8,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,9,28929,Maharashtra
Akola,6,ANUP SANJAY DHOTRE,Bharatiya Janata Party,9,ABHAY KASHINATH PATIL,Indian National Congress,13,40626,Maharashtra
Amravati,7,BALWANT BASWANT WANKHADE,Indian National Congress,13,NAVNEET RAVI RANA,Bharatiya Janata Party,9,19731,Maharashtra
Aurangabad,19,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,7,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,0,134650,Maharashtra
Baramati,35,SUPRIYA SULE,Nationalist Congress Party â Sharadchandra Pawar,8,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,1,158333,Maharashtra
Beed,39,BAJRANG MANOHAR SONWANE,Nationalist Congress Party â Sharadchandra Pawar,8,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,9,6553,Maharashtra
Bhandara Gondiya,11,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,13,SUNIL BABURAO MENDHE,Bharatiya Janata Party,9,37380,Maharashtra
Bhiwandi,23,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party â Sharadchandra Pawar,8,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,9,66121,Maharashtra
Buldhana,5,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,7,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),9,29479,Maharashtra
Chandrapur,13,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,13,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,9,260406,Maharashtra
Dhule,2,BACHHAV SHOBHA DINESH,Indian National Congress,13,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,9,3831,Maharashtra
Dindori,20,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party â Sharadchandra Pawar,8,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,9,113199,Maharashtra
Gadchiroli - Chimur,12,DR. KIRSAN NAMDEO,Indian National Congress,13,ASHOK  MAHADEORAO NETE,Bharatiya Janata Party,9,141696,Maharashtra
Hatkanangale,48,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,7,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),9,13426,Maharashtra
Hingoli,15,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),9,BABURAO KADAM KOHALIKAR,Shiv Sena,7,108602,Maharashtra
Jalgaon,3,SMITA UDAY WAGH,Bharatiya Janata Party,9,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),9,251594,Maharashtra
Jalna,18,KALYAN VAIJINATHRAO KALE,Indian National Congress,13,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,9,109958,Maharashtra
Kalyan,24,DR SHRIKANT EKNATH SHINDE,Shiv Sena,7,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),9,209144,Maharashtra
Kolhapur,47,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,13,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,7,154964,Maharashtra
Latur,41,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,13,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,9,61881,Maharashtra
Madha,43,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party â Sharadchandra Pawar,8,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,9,120837,Maharashtra
Maval,33,SHRIRANG APPA CHANDU BARNE,Shiv Sena,7,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),9,96615,Maharashtra
Mumbai North,26,PIYUSH GOYAL,Bharatiya Janata Party,9,BHUSHAN PATIL,Indian National Congress,13,357608,Maharashtra
Mumbai North Central,29,GAIKWAD VARSHA EKNATH,Indian National Congress,13,ADV UJWAL NIKAM,Bharatiya Janata Party,9,16514,Maharashtra
Mumbai North East,28,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),9,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,9,29861,Maharashtra
Mumbai North West,27,RAVINDRA DATTARAM WAIKAR,Shiv Sena,7,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),9,48,Maharashtra
Mumbai South,31,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),9,YAMINI YASHWANT JADHAV,Shiv Sena,7,52673,Maharashtra
Mumbai South Central,30,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),9,RAHUL RAMESH SHEWALE,Shiv Sena,7,53384,Maharashtra
Nagpur,10,NITIN JAIRAM GADKARI,Bharatiya Janata Party,9,VIKAS THAKRE,Indian National Congress,13,137603,Maharashtra
Nanded,16,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,13,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,9,59442,Maharashtra
Nandurbar,1,ADV GOWAAL KAGADA PADAVI,Indian National Congress,13,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,9,159120,Maharashtra
Nashik,21,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),9,GODSE HEMANT TUKARAM,Shiv Sena,7,162001,Maharashtra
Osmanabad,40,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),9,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,1,329846,Maharashtra
Palghar,22,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,9,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),9,183306,Maharashtra
Parbhani,17,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),9,JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,0,134061,Maharashtra
Pune,34,MURLIDHAR MOHOL,Bharatiya Janata Party,9,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,13,123038,Maharashtra
Raigad,32,TATKARE SUNIL DATTATREY,Nationalist Congress Party,1,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),9,82784,Maharashtra
Ramtek,9,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,13,RAJU DEONATH PARVE,Shiv Sena,7,76768,Maharashtra
Ratnagiri- Sindhudurg,46,NARAYAN TATU RANE,Bharatiya Janata Party,9,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),9,47858,Maharashtra
Raver,4,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,9,SHRIRAM DAYARAM PATIL,Nationalist Congress Party â Sharadchandra Pawar,8,272183,Maharashtra
Sangli,44,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,1,SANJAY (KAKA) PATIL,Bharatiya Janata Party,9,100053,Maharashtra
Satara,45,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,9,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party â Sharadchandra Pawar,8,32771,Maharashtra
Shirdi,38,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),9,LOKHANDE SADASHIV KISAN,Shiv Sena,7,50529,Maharashtra
Shirur,36,DR. AMOL RAMSING KOLHE,Nationalist Congress Party â Sharadchandra Pawar,8,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,1,140951,Maharashtra
Solapur,42,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,13,RAM VITTHAL SATPUTE,Bharatiya Janata Party,9,74197,Maharashtra
Thane,25,NARESH GANPAT MHASKE,Shiv Sena,7,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),9,217011,Maharashtra
Wardha,8,AMAR SHARADRAO KALE,Nationalist Congress Party â Sharadchandra Pawar,8,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,9,81648,Maharashtra
Yavatmal- Washim,14,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),9,RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,7,94473,Maharashtra
Inner Manipur,1,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,2,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party,0,109801,Manipur
Outer Manipur,2,ALFRED KANNGAM S ARTHUR,Indian National Congress,2,KACHUI TIMOTHY ZIMIK,Naga Peoples Front,0,85418,Manipur
MIZORAM,1,RICHARD VANLALHMANGAIHA,Zoram People's Movement,1,K VANLALVENA,Mizo National Front,0,68288,Mizoram
Nagaland,1,S SUPONGMEREN JAMIR,Indian National Congress,1,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,0,50984,Nagaland
Aska,19,ANITA SUBHADARSHINI,Bharatiya Janata Party,20,RANJITA SAHU,Biju Janata Dal,0,99974,Odisha
Balasore,6,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,20,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,0,147156,Odisha
Bargarh,1,PRADEEP PUROHIT,Bharatiya Janata Party,20,PARINITA MISHRA,Biju Janata Dal,0,251667,Odisha
Berhampur,20,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,20,BHRUGU BAXIPATRA,Biju Janata Dal,0,165476,Odisha
Bhadrak,7,AVIMANYU SETHI,Bharatiya Janata Party,20,MANJULATA MANDAL,Biju Janata Dal,0,91544,Odisha
Bhubaneswar,18,APARAJITA SARANGI,Bharatiya Janata Party,20,MANMATH KUMAR ROUTRAY,Biju Janata Dal,0,35152,Odisha
Bolangir,10,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,20,SURENDRA SINGH BHOI,Biju Janata Dal,0,132664,Odisha
Cuttack,14,BHARTRUHARI MAHTAB,Bharatiya Janata Party,20,SANTRUPT MISRA,Biju Janata Dal,0,57077,Odisha
Dhenkanal,9,RUDRA NARAYAN PANY,Bharatiya Janata Party,20,ABINASH SAMAL,Biju Janata Dal,0,76567,Odisha
Jagatsinghpur,16,BIBHU PRASAD TARAI,Bharatiya Janata Party,20,DR. RAJASHREE MALLICK,Biju Janata Dal,0,40696,Odisha
Jajpur,8,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,20,SARMISTHA SETHI,Biju Janata Dal,0,1587,Odisha
Kalahandi,11,MALVIKA DEVI,Bharatiya Janata Party,20,LAMBODAR NIAL,Biju Janata Dal,0,133813,Odisha
Kandhamal,13,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,20,ACHYUTANANDA SAMANTA,Biju Janata Dal,0,21371,Odisha
Kendrapara,15,BAIJAYANT PANDA,Bharatiya Janata Party,20,ANSHUMAN MOHANTY,Biju Janata Dal,0,66536,Odisha
Keonjhar,4,ANANTA NAYAK,Bharatiya Janata Party,20,DHANURJAYA SIDU,Biju Janata Dal,0,97042,Odisha
Koraput,21,SAPTAGIRI SANKAR ULAKA,Indian National Congress,1,KAUSALYA HIKAKA,Biju Janata Dal,0,147744,Odisha
Mayurbhanj,5,NABA CHARAN MAJHI,Bharatiya Janata Party,20,SUDAM MARNDI,Biju Janata Dal,0,219334,Odisha
Nabarangpur,12,BALABHADRA MAJHI,Bharatiya Janata Party,20,PRADEEP KUMAR MAJHI,Biju Janata Dal,0,87536,Odisha
Puri,17,SAMBIT PATRA,Bharatiya Janata Party,20,ARUP MOHAN PATNAIK,Biju Janata Dal,0,104709,Odisha
Sambalpur,3,DHARMENDRA PRADHAN,Bharatiya Janata Party,20,PRANAB PRAKASH DAS,Biju Janata Dal,0,119836,Odisha
Sundargarh,2,JUAL ORAM,Bharatiya Janata Party,20,DILIP KUMAR TIRKEY,Biju Janata Dal,0,138808,Odisha
PUDUCHERRY,1,VE VAITHILINGAM,Indian National Congress,1,A NAMASSIVAYAM,Bharatiya Janata Party,0,136516,Puducherry
Amritsar,2,GURJEET SINGH AUJLA,Indian National Congress,7,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,3,40301,Punjab
Anandpur Sahib,6,MALVINDER SINGH KANG,Aam Aadmi Party,3,VIJAY INDER SINGLA,Indian National Congress,7,10846,Punjab
Bathinda,11,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,1,GURMEET SINGH KHUDIAN,Aam Aadmi Party,3,49656,Punjab
Faridkot,9,SARABJEET SINGH KHALSA,Independent,2,KARAMJIT SINGH ANMOL,Aam Aadmi Party,3,70053,Punjab
Fatehgarh Sahib,8,AMAR SINGH,Indian National Congress,7,GURPREET SINGH GP,Aam Aadmi Party,3,34202,Punjab
Firozpur,10,SHER SINGH GHUBAYA,Indian National Congress,7,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,3,3242,Punjab
Gurdaspur,1,SUKHJINDER SINGH RANDHAWA,Indian National Congress,7,DINESH SINGH BABBU,Bharatiya Janata Party,0,82861,Punjab
Hoshiarpur,5,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,3,YAMINI GOMAR,Indian National Congress,7,44111,Punjab
Jalandhar,4,CHARANJIT SINGH CHANNI,Indian National Congress,7,SUSHIL KUMAR RINKU,Bharatiya Janata Party,0,175993,Punjab
Khadoor Sahib,3,AMRITPAL SINGH,Independent,2,KULBIR SINGH ZIRA,Indian National Congress,7,197120,Punjab
Ludhiana,7,AMRINDER SINGH RAJA WARRING,Indian National Congress,7,RAVNEET SINGH BITTU,Bharatiya Janata Party,0,20942,Punjab
Patiala,13,DR DHARAMVIRA GANDHI,Indian National Congress,7,DR BALBIR SINGH,Aam Aadmi Party,3,14831,Punjab
Sangrur,12,GURMEET SINGH MEET HAYER,Aam Aadmi Party,3,SUKHPAL SINGH KHAIRA,Indian National Congress,7,172560,Punjab
AJMER,13,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,14,RAMCHANDRA CHOUDHARY,Indian National Congress,8,329991,Rajasthan
ALWAR,8,BHUPENDER YADAV,Bharatiya Janata Party,14,LALIT YADAV,Indian National Congress,8,48282,Rajasthan
BANSWARA,20,RAJ KUMAR ROAT,Bharat Adivasi Party,1,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,14,247054,Rajasthan
BARMER,17,UMMEDA RAM BENIWAL,Indian National Congress,8,RAVINDRA SINGH BHATI,Independent,0,118176,Rajasthan
BHARATPUR,9,SANJNA JATAV,Indian National Congress,8,RAMSWAROOP KOLI,Bharatiya Janata Party,14,51983,Rajasthan
BHILWARA,23,DAMODAR AGARWAL,Bharatiya Janata Party,14,C P JOSHI,Indian National Congress,8,354606,Rajasthan
BIKANER,2,ARJUN RAM MEGHWAL,Bharatiya Janata Party,14,GOVINDRAM MEGHWAL,Indian National Congress,8,55711,Rajasthan
CHITTORGARH,21,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,14,ANJANA UDAILAL,Indian National Congress,8,389877,Rajasthan
CHURU,3,RAHUL KASWAN,Indian National Congress,8,DEVENDRA JHAJHARIA,Bharatiya Janata Party,14,72737,Rajasthan
DAUSA,11,MURARI LAL MEENA,Indian National Congress,8,KANHAIYA LAL MEENA,Bharatiya Janata Party,14,237340,Rajasthan
GANGANAGAR,1,KULDEEP INDORA,Indian National Congress,8,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party,14,88153,Rajasthan
JAIPUR,7,MANJU SHARMA,Bharatiya Janata Party,14,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,8,331767,Rajasthan
JAIPUR RURAL,6,RAO RAJENDRA SINGH,Bharatiya Janata Party,14,ANIL CHOPRA,Indian National Congress,8,1615,Rajasthan
JALORE,18,LUMBARAM,Bharatiya Janata Party,14,VAIBHAV GEHLOT,Indian National Congress,8,201543,Rajasthan
JHALAWAR-BARAN,25,DUSHYANT SINGH,Bharatiya Janata Party,14,URMILA JAIN âBHAYAâ,Indian National Congress,8,370989,Rajasthan
JHUNJHUNU,4,BRIJENDRA SINGH OLA,Indian National Congress,8,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,14,18235,Rajasthan
JODHPUR,16,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,14,KARAN SINGH UCHIYARDA,Indian National Congress,8,115677,Rajasthan
KARAULI-DHOLPUR,10,BHAJAN LAL JATAV,Indian National Congress,8,INDU DEVI,Bharatiya Janata Party,14,98945,Rajasthan
KOTA,24,OM BIRLA,Bharatiya Janata Party,14,PRAHLAD GUNJAL,Indian National Congress,8,41974,Rajasthan
NAGAUR,14,HANUMAN BENIWAL,Rashtriya Loktantrik Party,1,JYOTI MIRDHA,Bharatiya Janata Party,14,42225,Rajasthan
PALI,15,P. P. CHAUDHARY,Bharatiya Janata Party,14,SANGEETA BENIWAL,Indian National Congress,8,245351,Rajasthan
RAJSAMAND,22,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,14,DR. DAMODAR GURJAR,Indian National Congress,8,392223,Rajasthan
SIKAR,5,AMRARAM,Communist Party of India  (Marxist),1,SUMEDHANAND SARASWATI,Bharatiya Janata Party,14,72896,Rajasthan
TONK-SAWAI MADHOPUR,12,HARISH CHANDRA MEENA,Indian National Congress,8,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,14,64949,Rajasthan
UDAIPUR,19,MANNA LAL RAWAT,Bharatiya Janata Party,14,TARACHAND MEENA,Indian National Congress,8,261608,Rajasthan
Sikkim,1,INDRA HANG SUBBA,Sikkim Krantikari Morcha,1,BHARAT BASNETT,Citizen Action Party-Sikkim,0,80830,Sikkim
ARAKKONAM,7,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,22,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,0,306559,Tamil Nadu
ARANI,12,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,22,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,0,208766,Tamil Nadu
CHENNAI CENTRAL,4,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,22,VINOJ,Bharatiya Janata Party,0,244689,Tamil Nadu
CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,22,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,0,339222,Tamil Nadu
CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,22,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,0,225945,Tamil Nadu
