Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats.1,Margin,State
Muzaffarnagar,3,HARENDRA SINGH MALIK,Samajwadi Party,37,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,33,24672,Uttar Pradesh
Nagina,5,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),1,OM KUMAR,Bharatiya Janata Party,33,151473,Uttar Pradesh
Phulpur,51,PRAVEEN PATEL,Bharatiya Janata Party,33,AMAR NATH SINGH MAURYA,Samajwadi Party,37,4332,Uttar Pradesh
Pilibhit,26,JITIN PRASADA,Bharatiya Janata Party,33,BHAGWAT SARAN GANGWAR,Samajwadi Party,37,164935,Uttar Pradesh
Pratapgarh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,37,SANGAM LAL GUPTA,Bharatiya Janata Party,33,66206,Uttar Pradesh
Rae Bareli,36,RAHUL GANDHI,Indian National Congress,6,DINESH PRATAP SINGH,Bharatiya Janata Party,33,390030,Uttar Pradesh
Rampur,7,MOHIBBULLAH,Samajwadi Party,37,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,33,87434,Uttar Pradesh
Robertsganj,80,CHHOTELAL,Samajwadi Party,37,RINKI SINGH,Apna Dal (Soneylal),1,129234,Uttar Pradesh
Saharanpur,1,IMRAN MASOOD,Indian National Congress,6,RAGHAV LAKHANPAL,Bharatiya Janata Party,33,64542,Uttar Pradesh
Salempur,71,RAMASHANKAR RAJBHAR,Samajwadi Party,37,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,33,3573,Uttar Pradesh
Sambhal,8,ZIA UR REHMAN,Samajwadi Party,37,PARMESHWAR LAL SAINI,Bharatiya Janata Party,33,121494,Uttar Pradesh
Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,Samajwadi Party,37,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,33,92170,Uttar Pradesh
Shahjahanpur,27,ARUN KUMAR SAGAR,Bharatiya Janata Party,33,JYOTSNA GOND,Samajwadi Party,37,55379,Uttar Pradesh
Shrawasti,58,RAM SHIROMANI VERMA,Samajwadi Party,37,SAKET MISRA,Bharatiya Janata Party,33,76673,Uttar Pradesh
Sitapur,30,RAKESH RATHOR,Indian National Congress,6,RAJESH VERMA,Bharatiya Janata Party,33,89641,Uttar Pradesh
Sultanpur,38,RAMBHUAL NISHAD,Samajwadi Party,37,MANEKA SANJAY GANDHI,Bharatiya Janata Party,33,43174,Uttar Pradesh
Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,33,ANNU TANDON,Samajwadi Party,37,35818,Uttar Pradesh
Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,33,AJAY RAI,Indian National Congress,6,152513,Uttar Pradesh
